NOMBRE;Supermercado Dia Tigre	
CATEGORIA;Snacks	
CATEGORIA;Carnes y Congelados	
CATEGORIA;Gaseosas	
CATEGORIA;Cervezas y Vinos	
CATEGORIA;Panificados	


NOMBRE;Carrefour Carupa	
CATEGORIA;Snacks	
CATEGORIA;Verduleria	
CATEGORIA;Panificados	
CATEGORIA;Gaseosas	
CATEGORIA;Almacen	


NOMBRE;Chino Xun Meng	
CATEGORIA;Snacks	
CATEGORIA;Gaseosas	
CATEGORIA;Carnes y Congelados	
CATEGORIA;Snacks	


NOMBRE;Supermercado DIA	
CATEGORIA;Almacen	
CATEGORIA;Snacks	
CATEGORIA;Gaseosas	


NOMBRE;Supermercado LA CENTRAL	
CATEGORIA;Gaseosas	
CATEGORIA;Almacen	
CATEGORIA;Cervezas y Vinos	


NOMBRE;San Nicolas	
CATEGORIA;Carnes y Congelados	
CATEGORIA;Snacks	
CATEGORIA;Panificados	


NOMBRE;EL BICHO	
CATEGORIA;Carnes y Congelados	
CATEGORIA;Almacen	
CATEGORIA;Gaseosas	


NOMBRE;Supermercado Petra	
CATEGORIA;Snacks	
CATEGORIA;Verduleria	
CATEGORIA;Verduleria	
CATEGORIA;Cervezas y Vinos	
CATEGORIA;Panificados	


